da,delex_da,text,delex_text
"inform(name='Švejk Restaurant',near='Wenceslas Square')","inform(name=X-name,near=X-near)",Restauraci Švejk najdete poblíž Václavského náměstí .,X-name najdete poblíž X-near .
"inform(name='Green Spirit',price_range=expensive)","inform(name=X-name,price_range=X-price_range)",Green Spirit patří k těm dražším .,X-name patří k těm X-price_range .
"inform(name='Café Savoy',price_range=cheap)","inform(name=X-name,price_range=X-price_range)","Café Savoy je podnik , který patří do nižší cenové kategorie .","X-name je podnik , který patří do X-price_range cenové kategorie ."
"inform(food=Mexican,kids_allowed=yes,name='Baráčnická rychta')","inform(food=X-food,kids_allowed=yes,name=X-name)",Baráčnická rychta je vhodná pro děti a má mexická jídla .,X-name je vhodná pro děti a má X-food jídla .
?request(area),?request(area),Kde si přejete hledat restauraci ?,Kde si přejete hledat restauraci ?
"inform(name='Green Spirit',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Green Spirit je hezká restaurace s normálními cenami .,X-name je hezká restaurace s X-price_range cenami .
"inform(food=Chinese,kids_allowed=yes,name=Ferdinanda)","inform(food=X-food,kids_allowed=yes,name=X-name)",Ferdinanda je vhodná pro děti a nabízí čínskou jídla .,X-name je vhodná pro děti a nabízí X-food jídla .
"inform_no_match(food=Asian,good_for_meal=brunch)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)",Bohužel ani jedna restaurace nenabízí asijský brunch .,Bohužel ani jedna restaurace nenabízí X-food X-good_for_meal .
"inform(area='Staré Město',food=French,good_for_meal=dinner,name='Kočár z Vídně')","inform(area=X-area,food=X-food,good_for_meal=X-good_for_meal,name=X-name)","Restaurace Kočár z Vídně je příjemné místo na Starém Městě , kde si můžete dát francouzskou večeři .","Restaurace X-name je příjemné místo na X-area , kde si můžete dát X-food X-good_for_meal ."
"inform(good_for_meal=breakfast,name='U Konšelů')","inform(good_for_meal=X-good_for_meal,name=X-name)","U Konšelů je pěkná restaurace , ve které si můžete dát dobrou snídani .","X-name je pěkná restaurace , ve které si můžete dát dobrou X-good_for_meal ."
"inform(kids_allowed=yes,name=BarBar,near='TV Tower',price_range=cheap)","inform(kids_allowed=yes,name=X-name,near=X-near,price_range=X-price_range)","BarBar je levná restaurace poblíž televizní věže , kde je povolen vstup s dětmi .","X-name je X-price_range restaurace poblíž X-near , kde je povolen vstup s dětmi ."
"inform(good_for_meal=dinner,name='Café Savoy')","inform(good_for_meal=X-good_for_meal,name=X-name)",Café Savoy je dobré místo na večeři .,X-name je dobré místo na X-good_for_meal .
"inform_no_match(food=Italian,good_for_meal=breakfast)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Nemohu najít žádnou italskou restauraci , kde servírují snídaně .","Nemohu najít žádnou X-food restauraci , kde servírují X-good_for_meal ."
"inform(good_for_meal=lunch,name=Ananta)","inform(good_for_meal=X-good_for_meal,name=X-name)",Ananta se hodí na obědy .,X-name se hodí na X-good_for_meal .
"inform(name='Švejk Restaurant',near='Powder Tower')","inform(name=X-name,near=X-near)",Restaurace Švejk je poblíž Prašné brány .,X-name je poblíž X-near .
"inform(name='Café Savoy',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Café Savoy patří do střední cenové skupiny .,X-name patří do X-price_range cenové skupiny .
"inform(name='Café Savoy',price_range=expensive)","inform(name=X-name,price_range=X-price_range)",Restaurace Café Savoy je drahá,Restaurace X-name je X-price_range
"inform(name='U Konšelů',price_range=cheap)","inform(name=X-name,price_range=X-price_range)","Našla jsem restauraci U Konšelů , která má levné ceny .","Našla jsem restauraci X-name , která má X-price_range ceny ."
"inform(kids_allowed=no,name=Místo)","inform(kids_allowed=no,name=X-name)",V Místu nejsou děti vítány .,V X-name nejsou děti vítány .
"inform(name='U Konšelů',near='Wenceslas Square')","inform(name=X-name,near=X-near)",U Konšelů se nachází poblíž Václavského náměstí .,X-name se nachází poblíž X-near .
"inform(name=Ananta,near='Old Town Square')","inform(name=X-name,near=X-near)",Ananta je krásná restaurace blízko Staroměstského náměstí .,X-name je krásná restaurace blízko X-near .
"inform(name=BarBar,near='Petřín Tower')","inform(name=X-name,near=X-near)",Restaurace BarBar se nachází blízko Petřínské rozhledny .,Restaurace X-name se nachází blízko X-near .
"inform_no_match(food=Indian,good_for_meal=breakfast)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Nejsou tu žádné indické restaurace , které podávají snídaně .","Nejsou tu žádné X-food restaurace , které podávají X-good_for_meal ."
"inform(food=German,good_for_meal=dinner,name='Café Savoy',price_range=moderate)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Café Savoy je cenově dostupná restaurace , ve které se dá slušně navečeřet a která podává německou kuchyni .","X-name je X-price_range restaurace , ve které se dá slušně X-good_for_meal a která podává X-food kuchyni ."
"inform(name='Green Spirit',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Jako středně drahou restauraci bych doporučila Green Spirit .,Jako X-price_range restauraci bych doporučila X-name .
?request(area),?request(area),"Omlouvám se . Můžete zopakovat , jakou lokalitu hledáte ?","Omlouvám se . Můžete zopakovat , jakou lokalitu hledáte ?"
"inform(good_for_meal=breakfast,name='Baráčnická rychta')","inform(good_for_meal=X-good_for_meal,name=X-name)",V Baráčnické rychtě se dá dobře posnídat .,V X-name se dá dobře X-good_for_meal .
"inform(area=Hradčany,name='Café Kampus',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Café Kampus je středně drahá restaurace se sídlem na Hradčanech .,X-name je X-price_range restaurace se sídlem na X-area .
"inform(good_for_meal='lunch or dinner',name='Green Spirit')","inform(good_for_meal=X-good_for_meal,name=X-name)",V Green Spiritu se dá dobře naobědvat i navečeřet .,V X-name se dá dobře X-good_for_meal .
"inform_no_match(food=Asian,good_for_meal=breakfast)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","V této cenové relaci se zde nenachází žádné asijské restaurace , které servírují snídani .","V této cenové relaci se zde nenachází žádné X-food restaurace , které servírují X-good_for_meal ."
"inform(name='Kočár z Vídně',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Jako levnou restauraci bych doporučila Kočár z Vídně .,Jako X-price_range restauraci bych doporučila X-name .
"inform(name='U Tučňáků',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",U Tučňáků mají běžné ceny .,X-name mají X-price_range ceny .
"inform(name='U Tučňáků',near='Charles Bridge')","inform(name=X-name,near=X-near)",U Tučňáků se nachází poblíž Karlova mostu .,X-name se nachází poblíž X-near .
"inform(name='U Tučňáků',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace U Tučňáků má středně drahé ceny,Restaurace X-name má X-price_range ceny
"inform_no_match(food=French,good_for_meal=breakfast)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)",Na snídani se nehodí žádná restaurace s francouzským menu,Na X-good_for_meal se nehodí žádná restaurace s X-food menu
"inform(address='Karmelitská 4',name=BarBar,near='Prague Castle',phone=290510409)","inform(address=X-address,name=X-name,near=X-near,phone=X-phone)","BarBar se nachází v blízkosti Pražského hradu , na adrese Karmelitská 4 . Telefonní číslo je 290510409 .","X-name se nachází v blízkosti X-near , na adrese X-address . Telefonní číslo je X-phone ."
"inform(food=Italian,good_for_meal=dinner,name=BarBar,price_range=expensive)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Je tu italská restaurace BarBar , která patří do drahé cenové kategorie a hodí se na večeři .","Je tu X-food restaurace X-name , která patří do X-price_range cenové kategorie a hodí se na X-good_for_meal ."
"inform(area=Karlín,count=4,type=restaurant)","inform(area=X-area,count=X-count,type=restaurant)",V Karlíně se nacházejí 4 restaurace .,V X-area se nacházejí X-count restaurace .
?confirm(near='Powder Tower'),?confirm(near=X-near),"Mohu potvrdit , že hledáte restauraci blízko Prašné brány ?","Mohu potvrdit , že hledáte restauraci blízko X-near ?"
"inform(food=French,kids_allowed=yes,name=BarBar)","inform(food=X-food,kids_allowed=yes,name=X-name)","BarBar je dobrá , francouzská restaurace , do které je povolen vstup s dětmi .","X-name je dobrá , X-food restaurace , do které je povolen vstup s dětmi ."
"inform(food=American,kids_allowed=yes,name='Café Savoy')","inform(food=X-food,kids_allowed=yes,name=X-name)",Restaurace Café Savoy je amerického typu a je vhodná pro děti .,Restaurace X-name je X-food typu a je vhodná pro děti .
"inform(name=Místo,price_range=expensive)","inform(name=X-name,price_range=X-price_range)",Místo je dražší .,X-name je X-price_range .
"inform(good_for_meal=brunch,name='Café Savoy')","inform(good_for_meal=X-good_for_meal,name=X-name)",V Café Savoy podávají dobré brunche .,V X-name podávají dobré X-good_for_meal .
?request(area),?request(area),V jaké oblast vám pomohu hledat ?,V jaké oblast vám pomohu hledat ?
"inform(food=vegetarian,good_for_meal=lunch,name='Kočár z Vídně',price_range=cheap)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)",Kočár z Vídně je levná restaurace s vegetariánskou kuchyní a hodí se na oběd .,X-name je X-price_range restaurace s X-food kuchyní a hodí se na X-good_for_meal .
"inform(name='Green Spirit',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Green Spirit je docela cenově dostupná restaurace .,X-name je docela X-price_range restaurace .
"inform(good_for_meal=brunch,name='Café Savoy')","inform(good_for_meal=X-good_for_meal,name=X-name)",Café Savoy podává úžasný brunch .,X-name podává úžasný X-good_for_meal .
"inform(name='Café Kampus',near='Petřín Tower')","inform(name=X-name,near=X-near)",Café Kampus je nedaleko od Petřínské rozhledny .,X-name je nedaleko od X-near .
"inform(name=Ananta,near='Charles Bridge')","inform(name=X-name,near=X-near)",Našla jsem Anantu poblíž Karlova mostu .,Našla jsem X-name poblíž X-near .
"inform_only_match(good_for_meal=dinner,name=BarBar,near='Old Town Square',price_range=moderate)","inform_only_match(good_for_meal=X-good_for_meal,name=X-name,near=X-near,price_range=X-price_range)","BarBar je jediná cenově dostupná restaurace blízko Staroměstského náměstí , která jsou dobrá na večeře .","X-name je jediná X-price_range restaurace blízko X-near , která jsou dobrá na X-good_for_meal ."
"inform(name=BarBar,near='Powder Tower')","inform(name=X-name,near=X-near)",BarBar je krásná restaurace blízko Prašné brány .,X-name je krásná restaurace blízko X-near .
"inform(address='Žatecká 39',area=Karlín,name='Pivo & Basilico',phone=253471180)","inform(address=X-address,area=X-area,name=X-name,phone=X-phone)","Pivo & Basilico má sídlo v oblasti Karlína , na adrese Žatecká 39 , telefon 253471180 .","X-name má sídlo v oblasti X-area , na adrese X-address , telefon X-phone ."
"inform(kids_allowed=no,name='U Tučňáků')","inform(kids_allowed=no,name=X-name)",Do restaurace U Tučňáků děti nemají přístup .,Do restaurace X-name děti nemají přístup .
?request(area),?request(area),V jaké oblasti si přejete se najíst ?,V jaké oblasti si přejete se najíst ?
"inform(kids_allowed=yes,name='Švejk Restaurant',near='Powder Tower',price_range=cheap)","inform(kids_allowed=yes,name=X-name,near=X-near,price_range=X-price_range)","Ráda bych vás informovala , že restaurace Švejk je příjemná restaurace poblíž Prašné brány , patří do levné cenové skupiny a je vhodná pro děti .","Ráda bych vás informovala , že X-name je příjemná restaurace poblíž X-near , patří do X-price_range cenové skupiny a je vhodná pro děti ."
"inform_only_match(food=vegetarian,name=BarBar,price_range=cheap)","inform_only_match(food=X-food,name=X-name,price_range=X-price_range)","Omlouvám se , ale žádné jiné místo než BarBar nenabízí levnou a vegetariánskou stravu .","Omlouvám se , ale žádné jiné místo než X-name nenabízí X-price_range a X-food stravu ."
"inform(good_for_meal=dinner,name='Green Spirit')","inform(good_for_meal=X-good_for_meal,name=X-name)","Vím , že Green Spirit se hodí na večeři .","Vím , že X-name se hodí na X-good_for_meal ."
"inform(area=Nusle,name='Švejk Restaurant',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Restaurace Švejk leží v Nuslích a má přijatelné ceny .,X-name leží v X-area a má X-price_range ceny .
"inform(good_for_meal='lunch or dinner',name='Kočár z Vídně',phone=238783195)","inform(good_for_meal=X-good_for_meal,name=X-name,phone=X-phone)",V Kočáru z Vídně je možné poobědvat nebo povečeřet . Telefonní číslo je 238783195 .,V X-name je možné X-good_for_meal . Telefonní číslo je X-phone .
"inform(name='Švejk Restaurant',near='TV Tower')","inform(name=X-name,near=X-near)",Restaurace Švejk se nachází blízko Žižkovské televizní věže .,X-name se nachází blízko X-near .
"inform(good_for_meal=dinner,kids_allowed=yes,name=Ferdinanda,near='Charles Bridge')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name,near=X-near)","Nedaleko od Karlova mostu je příjemná restaurace Ferdinanda , která je vhodná pro děti a dá se v ní dobře navečeřet .","Nedaleko od X-near je příjemná restaurace X-name , která je vhodná pro děti a dá se v ní dobře X-good_for_meal ."
?request(area),?request(area),V jaké lokalitě byste chtěli povečeřet ?,V jaké lokalitě byste chtěli povečeřet ?
?request(area),?request(area),V jaké oblasti si přejete najít restauraci ?,V jaké oblasti si přejete najít restauraci ?
"inform(name='Baráčnická rychta',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace Baráčnická rychta patří do středně drahé cenové skupiny .,Restaurace X-name patří do X-price_range cenové skupiny .
"inform(count=218,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Našla jsem 218 vhodných restaurací , pokud by vám nezáleželo na typu jídla .","Našla jsem X-count vhodných restaurací , pokud by vám nezáleželo na typu jídla ."
?request(area),?request(area),Jaká oblast Vás zajímá ?,Jaká oblast Vás zajímá ?
"inform(kids_allowed=no,name='Green Spirit')","inform(kids_allowed=no,name=X-name)",Green Spirit je pro děti nevhodný .,X-name je pro děti nevhodný .
"inform_only_match(food=American,name='U Tučňáků',price_range=cheap)","inform_only_match(food=X-food,name=X-name,price_range=X-price_range)","Lituji , ale s výjimkou restaurace U Tučňáků tady nemám žádná další místa , která by byla levná a nabízela by americké jídlo .","Lituji , ale s výjimkou restaurace X-name tady nemám žádná další místa , která by byla X-price_range a nabízela by X-food jídlo ."
"inform(name='U Tučňáků',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Podnik U Tučňáků patří do střední cenové skupiny .,Podnik X-name patří do X-price_range cenové skupiny .
"inform(area=Karlín,count=4,good_for_meal=lunch,kids_allowed=yes,type=restaurant)","inform(area=X-area,count=X-count,good_for_meal=X-good_for_meal,kids_allowed=yes,type=restaurant)","V Karlíně se nachází 4 restaurace , které podávají obědy a nejsou vhodné pro děti .","V X-area se nachází X-count restaurace , které podávají X-good_for_meal a nejsou vhodné pro děti ."
"inform(kids_allowed=no,name=Místo)","inform(kids_allowed=no,name=X-name)",Doporučila bych Místo . Není přístupná pro děti .,Doporučila bych X-name . Není přístupná pro děti .
"inform(food=Italian,kids_allowed=no,name='Café Kampus')","inform(food=X-food,kids_allowed=no,name=X-name)","Café Kampus je příjemná restaurace , která není vhodná pro děti a nabízí italskou kuchyni .","X-name je příjemná restaurace , která není vhodná pro děti a nabízí X-food kuchyni ."
"inform(name=Ferdinanda,price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Ferdinanda má celkem průměrné ceny .,X-name má celkem X-price_range ceny .
"inform_no_match(area='Staré Město',kids_allowed=yes,price_range=expensive)","inform_no_match(area=X-area,kids_allowed=yes,price_range=X-price_range)",Bohužel se mi nepodařilo najít na Starém městě žádnou drahou restauraci vhodnou pro děti .,Bohužel se mi nepodařilo najít na X-area žádnou X-price_range restauraci vhodnou pro děti .
"inform(count=218,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Je zde 218 restaurací , které servírují všechny typy pokrmů .","Je zde X-count restaurací , které servírují všechny typy pokrmů ."
"inform(name='Café Kampus',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace Café Kampus má také střední ceny .,Restaurace X-name má také X-price_range ceny .
"inform(area=Dejvice,name='Kočár z Vídně',price_range=cheap)","inform(area=X-area,name=X-name,price_range=X-price_range)",Kočár z Vídně patří do levné cenové kategorie a je v Dejvicích .,X-name patří do X-price_range cenové kategorie a je v X-area .
"inform(food=Czech,kids_allowed=yes,name='Baráčnická rychta')","inform(food=X-food,kids_allowed=yes,name=X-name)",Baráčnická rychta je česká restaurace vhodná pro děti .,X-name je X-food restaurace vhodná pro děti .
"inform(name='Švejk Restaurant',near='Powder Tower or Old Town Square')","inform(name=X-name,near=X-near)",Restaurace Švejk se nachází blízko Prašné Brány nebo Staroměstského náměstí .,X-name se nachází blízko X-near .
"inform(area='Malá Strana',name=BarBar,price_range=expensive)","inform(area=X-area,name=X-name,price_range=X-price_range)","Mám tu příjemnou , drahou restauraci blízko Malé Strany , která se jmenuje BarBar .","Mám tu příjemnou , X-price_range restauraci blízko X-area , která se jmenuje X-name ."
"inform(name='Café Savoy',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Café Savoy má docela běžné ceny .,X-name má docela X-price_range ceny .
"inform(name=BarBar,near='TV Tower')","inform(name=X-name,near=X-near)",BarBar je blízko Žižkovské televizní věže .,X-name je blízko X-near .
?request(area),?request(area),V jaké oblast vám pomohu hledat ?,V jaké oblast vám pomohu hledat ?
"inform(good_for_meal=dinner,name='U Tučňáků')","inform(good_for_meal=X-good_for_meal,name=X-name)",U Tučňáků je dobré místo na večeři .,X-name je dobré místo na X-good_for_meal .
"inform(name='Švejk Restaurant',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace Švejk je středně drahá .,X-name je X-price_range .
"inform(name='Kočár z Vídně',price_range=expensive)","inform(name=X-name,price_range=X-price_range)",Kočár z Vídně je velmi drahá restaurace .,X-name je velmi X-price_range restaurace .
?request(area),?request(area),V jaké části města byste si přáli hledat ?,V jaké části města byste si přáli hledat ?
?request(area),?request(area),"V jakém místě chcete , abych hledala ?","V jakém místě chcete , abych hledala ?"
"inform(name='Pivo & Basilico',near='Petřín Tower')","inform(name=X-name,near=X-near)",Pivo & Basilico je poblíž Petřínské věže .,X-name je poblíž X-near .
"inform(name=Ananta,price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Ananta je restaurace s průměrnými cenami,X-name je restaurace s X-price_range cenami
"inform(kids_allowed=no,name='U Tučňáků')","inform(kids_allowed=no,name=X-name)","Promiňte , restaurace U Tučňáků není vhodná pro návštěvu s dětmi .","Promiňte , restaurace X-name není vhodná pro návštěvu s dětmi ."
"inform(name='Pivo & Basilico',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace Pivo & Basilico je v normální cenové skupině .,Restaurace X-name je v X-price_range cenové skupině .
"inform(count=3,food=vegetarian,kids_allowed=yes,type=restaurant)","inform(count=X-count,food=X-food,kids_allowed=yes,type=restaurant)","Našla jsem 3 vegetariánské restaurace , kde je povolen vstup s dětmi .","Našla jsem X-count X-food restaurace , kde je povolen vstup s dětmi ."
?confirm(near=Stromovka),?confirm(near=X-near),"Zajímá vás , zda je to blízko Stromovky ?","Zajímá vás , zda je to blízko X-near ?"
"inform(area='Staré Město',name='Café Kampus',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)","Našla jsem restauraci Café Kampus na Starém Městě , která má normální ceny .","Našla jsem restauraci X-name na X-area , která má X-price_range ceny ."
"inform(name='Pivo & Basilico',near='Petřín Tower')","inform(name=X-name,near=X-near)",Pivo & Basilico je nedaleko Petřínské věže .,X-name je nedaleko X-near .
"inform(count=239,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Je zde k dispozici 239 restaurací , které podávají různé druhy jídla .","Je zde k dispozici X-count restaurací , které podávají různé druhy jídla ."
"inform(good_for_meal=dinner,name='U Konšelů')","inform(good_for_meal=X-good_for_meal,name=X-name)","U Konšelů je dobrá restaurace , kde příjemně povečeříte .","X-name je dobrá restaurace , kde příjemně X-good_for_meal ."
"inform(name='Café Kampus',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Café Kampus patří do levné cenové kategorie .,X-name patří do X-price_range cenové kategorie .
?request(area),?request(area),V jaké lokalitě chcete restauraci vyhledat ?,V jaké lokalitě chcete restauraci vyhledat ?
"inform(name=Místo,price_range=moderate)","inform(name=X-name,price_range=X-price_range)",V Místě mají normální ceny .,V X-name mají X-price_range ceny .
"inform(food=Asian,kids_allowed=yes,name='Café Kampus')","inform(food=X-food,kids_allowed=yes,name=X-name)",Café Kampus nabízí asijskou kuchyni a je vhodné pro děti .,X-name nabízí X-food kuchyni a je vhodné pro děti .
"inform(name=BarBar,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",BarBar je velmi levná restaurace .,X-name je velmi X-price_range restaurace .
"inform(name='Baráčnická rychta',price_range=expensive)","inform(name=X-name,price_range=X-price_range)",V restauraci Baráčnická rychta mají celkem draho .,V restauraci X-name mají celkem X-price_range .
"inform(area=Smíchov,name='Švejk Restaurant',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Na Smíchově máme Švejk Restaurant se středními cenami,Na X-area máme X-name se X-price_range cenami
"inform(address='Žatecká 42',food=none,name=Ananta)","inform(address=X-address,food=none,name=X-name)","Adresa restaurace Ananta je Žatecká 42 a bohužel nevím , jakou kuchyni zde připravují . Omlouvám se .","Adresa restaurace X-name je X-address a bohužel nevím , jakou kuchyni zde připravují . Omlouvám se ."
"inform(name='Café Kampus',price_range=moderate)","inform(name=X-name,price_range=X-price_range)","Je zde Café Kampus , které vaří za střední ceny","Je zde X-name , které vaří za X-price_range ceny"
"inform(area=Karlín,name='Café Kampus',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Café Kampus se nachází v blízkosti Karlína a má střední ceny .,X-name se nachází v blízkosti X-area a má X-price_range ceny .
"inform(address='Štefánikova 49',area=Smíchov,name=Ananta,phone=223832919)","inform(address=X-address,area=X-area,name=X-name,phone=X-phone)",Číslo na Anantu je 223832919 . Je ve Štefánikově 49 na Smíchově .,Číslo na X-name je X-phone . Je ve X-address na X-area .
