da,text,delex_da,delex_text
"inform(address=""Žatecká 44"")&inform(name=""Švejk Restaurant"")&inform(phone=263856885)",Adresa restaurace Švejk je Žatecká 44 a telefonní číslo je 263856885.,inform(address=X-address)&inform(name=X-name)&inform(phone=X-phone),adresa X-name je X-address a telefonní číslo je X-phone .
goodbye(),Nashle.,goodbye(),nashle .
"inform(name=""Švejk Restaurant"")&inform(price_range=moderate)&inform(food=vegetarian)&inform(kids_allowed=no)","Mám pro Vás jednu restauraci. Jmenuje se Švejk Restaurant, není vstřícná k dětem, vaří vegetariánsky a má střední ceny.",inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food)&inform(kids_allowed=no),"mám pro vás jednu restauraci . jmenuje se X-name , není vstřícná k dětem , vaří X-food a má X-price_range ceny ."
inform(type=restaurant)&inform(price_range=moderate)&inform(food=Asian)&inform(kids_allowed=no)&inform(count=2),"Jsou zde 2 středně drahé asijské restaurace, kam není povolen vstup s dětmi.",inform(type=restaurant)&inform(price_range=X-price_range)&inform(food=X-food)&inform(kids_allowed=no)&inform(count=X-count),"jsou zde X-count X-price_range X-food restaurace , kam není povolen vstup s dětmi ."
?request(near),Prosím potvrďte svoji preferovanou oblast.,?request(near),prosím potvrďte svoji preferovanou oblast .
"inform(type=restaurant)&inform(name=""U Konšelů"")",Je tu pěkná restaurace jménem U Konšelů.,inform(type=restaurant)&inform(name=X-name),je tu pěkná restaurace jménem X-name .
?request(food),Na jaké jídlo máte chuť?,?request(food),na jaké jídlo máte chuť ?
"inform(near=""Old Town Square"")&inform(name=""Café Savoy"")&inform(price_range=moderate)&inform(food=Indian)&inform(kids_allowed=no)","Našla jsem pro vás restauraci. Její název je Café Savoy, podávají tam indickou kuchyni, nachází se poblíž Staroměstského náměstí, restaurace není vhodná pro děti a patří do střední cenové skupiny.",inform(near=X-near)&inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food)&inform(kids_allowed=no),"našla jsem pro vás restauraci . její název je X-name , podávají tam X-food kuchyni , nachází se poblíž X-near , restaurace není vhodná pro děti a patří do X-price_range cenové skupiny ."
"inform(address=""Štefánikova 7"")&inform(name=""Švejk Restaurant"")",Adresa restaurace Švejk je Štefánikova 7,inform(address=X-address)&inform(name=X-name),adresa X-name je X-address
goodbye(),Děkuji za zavolání. Na shledanou.,goodbye(),děkuji za zavolání . na shledanou .
"inform(name=""Kočár z Vídně"")&inform(food=Czech)",Mám pro Vás vhodnou restauraci. Její název je Kočár z Vídně a můžete si dát českou kuchyni.,inform(name=X-name)&inform(food=X-food),mám pro vás vhodnou restauraci . její název je X-name a můžete si dát X-food kuchyni .
"inform_only_match(name=""U Konšelů"")&inform_only_match(food=vegetarian)&inform_only_match(good_for_meal=dinner)","Jediná restaurace, která servíruje vegetariánská jídla a ve které se můžete dobře navečeřet, je U Konšelů.",inform_only_match(name=X-name)&inform_only_match(food=X-food)&inform_only_match(good_for_meal=X-good_for_meal),"jediná restaurace , která servíruje X-food jídla a ve které se můžete dobře X-good_for_meal , je X-name ."
"inform(name=""U Konšelů"")&inform(kids_allowed=yes)","Ano, do restaurace U Konšelů mohou děti",inform(name=X-name)&inform(kids_allowed=yes),"ano , do restaurace X-name mohou děti"
"inform(area=Vinohrady)&inform(name=""Green Spirit"")&inform(address=""Národní 18"")",Green Spirit je na Vinohradech a jeho adresa je Národní 18.,inform(area=X-area)&inform(name=X-name)&inform(address=X-address),X-name je na X-area a jeho adresa je X-address .
goodbye(),Přeji příjemný den,goodbye(),přeji příjemný den
inform(price_range=expensive)&inform(name=Místo)&inform(kids_allowed=no),"Je tu pěkná, drahá restaurace Místo, která není přístupná dětem.",inform(price_range=X-price_range)&inform(name=X-name)&inform(kids_allowed=no),"je tu pěkná , X-price_range restaurace X-name , která není přístupná dětem ."
inform_no_match(price_range=expensive)&inform_no_match(good_for_meal=breakfast),Ve vyšší cenové kategorii se tu nenacházejí žádné restaurace podávající snídaně.,inform_no_match(price_range=X-price_range)&inform_no_match(good_for_meal=X-good_for_meal),ve X-price_range cenové kategorii se tu nenacházejí žádné restaurace podávající X-good_for_meal .
goodbye(),Na shledanou!,goodbye(),na shledanou !
inform_no_match(area=Karlín),V Karlíně nejsou žádné takové restaurace.,inform_no_match(area=X-area),v X-area nejsou žádné takové restaurace .
inform_no_match(area=Hradčany),Hradčany nemají žádnou restauraci.,inform_no_match(area=X-area),X-area nemají žádnou restauraci .
goodbye(),"Děkuji, na shledanou.",goodbye(),"děkuji , na shledanou ."
?request(area),V jaké oblasti si přejete hledat?,?request(area),v jaké oblasti si přejete hledat ?
"inform(name=""Café Kampus"")&inform(good_for_meal=lunch)&inform(kids_allowed=no)","Café Kampus je dobrá na obědy, ale ne pro návštěvu s dětmi.",inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=no),"X-name je dobrá na X-good_for_meal , ale ne pro návštěvu s dětmi ."
inform_no_match(area=Dejvice)&inform_no_match(kids_allowed=no),"V Dejvicích nejsou žádné restaurace, do kterých nemůžou děti.",inform_no_match(area=X-area)&inform_no_match(kids_allowed=no),"v X-area nejsou žádné restaurace , do kterých nemůžou děti ."
"inform(name=""Green Spirit"")&inform(area=Žižkov)",Green Spirit je na Žižkově.,inform(name=X-name)&inform(area=X-area),X-name je na X-area .
"inform(address=""Malostranské náměstí 26"")&inform(name=Místo)&inform(phone=210000645)","Adresa restaurace Místo je Malostranské náměstí 26, s telefonním číslem 210000645",inform(address=X-address)&inform(name=X-name)&inform(phone=X-phone),"adresa restaurace X-name je X-address , s telefonním číslem X-phone"
"inform(name=""Green Spirit"")&inform(near=Stromovka)",Green Spirit je poblíž Stromovky.,inform(name=X-name)&inform(near=X-near),X-name je poblíž X-near .
goodbye(),Děkuji a přeji krásný den.,goodbye(),děkuji a přeji krásný den .
"inform_no_match(near=""Powder Tower"")&inform_no_match(good_for_meal=breakfast)","Omlouvám se, ale poblíž Prašné brány jsem nenašla žádnou restauraci vhodnou na snídani.",inform_no_match(near=X-near)&inform_no_match(good_for_meal=X-good_for_meal),"omlouvám se , ale poblíž X-near jsem nenašla žádnou restauraci vhodnou na X-good_for_meal ."
?request(food),O jakou kuchyni máte zájem?,?request(food),o jakou kuchyni máte zájem ?
"inform(name=""Pivo & Basilico"")&inform(good_for_meal=breakfast)&inform(food)",Restaurace Pivo & Basilico je dobrá pro snídaně.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(food),restaurace X-name je dobrá pro X-good_for_meal .
"?select(near=""Prague Castle"")&?select(near=dont_care)","Chcete být poblíž Pražského hradu, nebo Vám to je jedno?",?select(near=X-near)&?select(near=dont_care),"chcete být poblíž X-near , nebo vám to je jedno ?"
"inform(price=""between 130 and 180 Kč"")&inform(near=""Wenceslas Square"")&inform(name=""Švejk Restaurant"")&inform(phone=229996745)","Restaurace Švejk poblíž Václavského náměstí nabízí ceny mezi 130 a 180 Kč, telefonní kontakt 229996745",inform(price=X-price)&inform(near=X-near)&inform(name=X-name)&inform(phone=X-phone),"X-name poblíž X-near nabízí ceny X-price , telefonní kontakt X-phone"
goodbye(),Děkuji. Na shledanou.,goodbye(),děkuji . na shledanou .
"inform(name=""Kočár z Vídně"")&inform(area=Dejvice)&inform(price_range=cheap)",Kočár z Vídně patří do levné cenové kategorie a je v Dejvicích.,inform(name=X-name)&inform(area=X-area)&inform(price_range=X-price_range),X-name patří do X-price_range cenové kategorie a je v X-area .
goodbye(),"Na shledanou, děkujeme, že jste si vybrali náš systém.",goodbye(),"na shledanou , děkujeme , že jste si vybrali náš systém ."
inform_no_match(food=Turkish)&inform_no_match(kids_allowed=yes),Nenašla jsem tu žádnou tureckou restauraci vhodnou pro děti.,inform_no_match(food=X-food)&inform_no_match(kids_allowed=yes),nenašla jsem tu žádnou X-food restauraci vhodnou pro děti .
"inform(name=""Švejk Restaurant"")&inform(price_range=expensive)&inform(food=Mexican)",Restaurace Švejk je mexická a servíruje drahá jídla.,inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food),X-name je X-food a servíruje X-price_range jídla .
"inform(name=""Green Spirit"")&inform(phone=286102528)",Telefonní číslo restaurace Green Spirit je 286102528,inform(name=X-name)&inform(phone=X-phone),telefonní číslo restaurace X-name je X-phone
"inform(near=""Charles Bridge"")&inform(name=""Baráčnická rychta"")",Baráčnická rychta leží nedaleko od Karlova mostu.,inform(near=X-near)&inform(name=X-name),X-name leží nedaleko od X-near .
"inform(name=""Café Kampus"")&inform(kids_allowed=no)",Café Kampus není přístupné dětem.,inform(name=X-name)&inform(kids_allowed=no),X-name není přístupné dětem .
goodbye(),Těšilo mě.,goodbye(),těšilo mě .
inform_no_match(food=French)&inform_no_match(good_for_meal=brunch),"Nemohu bohužel najít dobrou restauraci na brunch, kde se podávají francouzská jídla.",inform_no_match(food=X-food)&inform_no_match(good_for_meal=X-good_for_meal),"nemohu bohužel najít dobrou restauraci na X-good_for_meal , kde se podávají X-food jídla ."
"inform(name=""Café Kampus"")&inform(food=Italian)",Café Kampus se specializuje na italskou kuchyni.,inform(name=X-name)&inform(food=X-food),X-name se specializuje na X-food kuchyni .
"inform(phone=219155930)&inform(name=""Green Spirit"")&inform(kids_allowed=no)","Do restaurace Green Spirit není povolen vstup s dětmi, telefonní číslo je 219155930.",inform(phone=X-phone)&inform(name=X-name)&inform(kids_allowed=no),"do restaurace X-name není povolen vstup s dětmi , telefonní číslo je X-phone ."
"inform(price=""between 180 and 550 Kč"")&inform(address=""Kaprova 13"")&inform(name=BarBar)",BarBar je v ulici Kaprova 13 a ceny jsou mezi 180 a 550 Kč.,inform(price=X-price)&inform(address=X-address)&inform(name=X-name),X-name je v ulici X-address a ceny jsou X-price .
goodbye(),"Na shledanou, přeji krásný den.",goodbye(),"na shledanou , přeji krásný den ."
inform(name=Místo)&inform(food=Indian),"Pokud si chcete dát indickou kuchyni, zkuste Místo",inform(name=X-name)&inform(food=X-food),"pokud si chcete dát X-food kuchyni , zkuste X-name"
goodbye(),"Děkuji Vám, mějte se krásně",goodbye(),"děkuji vám , mějte se krásně"
?request(price_range),Vyžadujete konkrétní cenovou kategorii?,?request(price_range),vyžadujete konkrétní cenovou kategorii ?
?request(price_range),Jakou cenovou kategorii hledáte?,?request(price_range),jakou cenovou kategorii hledáte ?
?request(price_range),"Jaká je cenová kategorie restaurace, kterou chcete najít?",?request(price_range),"jaká je cenová kategorie restaurace , kterou chcete najít ?"
goodbye(),Dobrou chuť!,goodbye(),dobrou chuť !
?request(good_for_meal),"Chcete si zajít na snídani, brunch, oběd nebo večeři?",?request(good_for_meal),"chcete si zajít na snídani , brunch , oběd nebo večeři ?"
inform(type=restaurant)&inform(good_for_meal=dont_care)&inform(count=239),"Pokud vám nezáleží na tom, jaké jídlo si dát, máte na výběr z 239 restaurací.",inform(type=restaurant)&inform(good_for_meal=dont_care)&inform(count=X-count),"pokud vám nezáleží na tom , jaké jídlo si dát , máte na výběr z X-count restaurací ."
?request(food),Jaký typ jídla hledáte?,?request(food),jaký typ jídla hledáte ?
inform(type=restaurant)&inform(good_for_meal=dont_care)&inform(food=dont_care)&inform(count=239),"Pokud vám nezáleží na druhu jídla, našla jsem 239 restaurací, které podávají jídlo během celého dne.",inform(type=restaurant)&inform(good_for_meal=dont_care)&inform(food=dont_care)&inform(count=X-count),"pokud vám nezáleží na druhu jídla , našla jsem X-count restaurací , které podávají jídlo během celého dne ."
?request(area),V jaké části města byste si přáli hledat?,?request(area),v jaké části města byste si přáli hledat ?
?request(good_for_meal),"Máte zájem o snídani, brunch, oběd nebo večeři?",?request(good_for_meal),"máte zájem o snídani , brunch , oběd nebo večeři ?"
?request(good_for_meal),"Máte zájem o restauraci, která podává snídani, brunch, oběd nebo večeři?",?request(good_for_meal),"máte zájem o restauraci , která podává snídani , brunch , oběd nebo večeři ?"
?confirm(good_for_meal=dont_care),"Můžu potvrdit, že je Vám jedno, jaké jídlo dělají?",?confirm(good_for_meal=dont_care),"můžu potvrdit , že je vám jedno , jaké jídlo dělají ?"
goodbye(),Rádo se stalo. Na shledanou.,goodbye(),rádo se stalo . na shledanou .
inform(price_range=moderate)&inform(name=Ferdinanda)&inform(kids_allowed=no),"Ferdinanda je cenově dostupná restaurace, která není přístupná dětem.",inform(price_range=X-price_range)&inform(name=X-name)&inform(kids_allowed=no),"X-name je X-price_range restaurace , která není přístupná dětem ."
inform(type=restaurant)&inform(name=Místo),Třeba Místo je dobrá restaurace.,inform(type=restaurant)&inform(name=X-name),třeba X-name je dobrá restaurace .
?reqmore(),"Je něco dalšího, co bych pro vás mohla udělat?",?reqmore(),"je něco dalšího , co bych pro vás mohla udělat ?"
"inform(name=""Green Spirit"")&inform(area=""Staré Město"")&inform(price_range=moderate)&inform(kids_allowed=no)",Restaurace Green Spirit na Starém Městě má běžné ceny a není přístupná dětem.,inform(name=X-name)&inform(area=X-area)&inform(price_range=X-price_range)&inform(kids_allowed=no),restaurace X-name na X-area má X-price_range ceny a není přístupná dětem .
"inform(address=""Náprstkova 29"")&inform(name=""Green Spirit"")&inform(phone=261270888)",Adresa podniku Green Spirit je Náprstkova 29 a telefonní číslo je 261270888.,inform(address=X-address)&inform(name=X-name)&inform(phone=X-phone),adresa podniku X-name je X-address a telefonní číslo je X-phone .
goodbye(),Děkuji a užijte si to,goodbye(),děkuji a užijte si to
"inform(name=Ananta)&inform(near=""Old Town Square"")&inform(kids_allowed=no)","Dobře, našla jsem restauraci Ananta blízko Staroměstského náměstí, která není vhodná pro děti.",inform(name=X-name)&inform(near=X-near)&inform(kids_allowed=no),"dobře , našla jsem restauraci X-name blízko X-near , která není vhodná pro děti ."
"inform(area=Žižkov)&inform(name=""U Konšelů"")&inform(phone=283490870)","Restaurace U Konšelů je na Žižkově, telefonní číslo je 283490870.",inform(area=X-area)&inform(name=X-name)&inform(phone=X-phone),"restaurace X-name je na X-area , telefonní číslo je X-phone ."
goodbye(),Děkuji.,goodbye(),děkuji .
?confirm(good_for_meal=dinner),Chcete najít vhodnou restauraci na večeři?,?confirm(good_for_meal=X-good_for_meal),chcete najít vhodnou restauraci na X-good_for_meal ?
?confirm(area=Nusle),Hledáte restaurace v Nuslích?,?confirm(area=X-area),hledáte restaurace v X-area ?
?confirm(good_for_meal=dinner),Chcete restauraci na večeři?,?confirm(good_for_meal=X-good_for_meal),chcete restauraci na X-good_for_meal ?
goodbye(),"Děkuju Vám, na shledanou.",goodbye(),"děkuju vám , na shledanou ."
inform_no_match(near=Stromovka)&inform_no_match(price_range=expensive),Poblíž Stromovky není žádná drahá restaurace.,inform_no_match(near=X-near)&inform_no_match(price_range=X-price_range),poblíž X-near není žádná X-price_range restaurace .
?select(food=Italian),Vyhovovala by vám italská kuchyně?,?select(food=X-food),vyhovovala by vám X-food kuchyně ?
"inform_no_match(near=""Prague Castle"")&inform_no_match(price_range=moderate)&inform_no_match(food=Chinese)",Poblíž Pražského hradu není žádná cenově dostupná čínská restaurace.,inform_no_match(near=X-near)&inform_no_match(price_range=X-price_range)&inform_no_match(food=X-food),poblíž X-near není žádná X-price_range X-food restaurace .
goodbye(),Mějte se!,goodbye(),mějte se !
inform_no_match(good_for_meal=breakfast)&inform_no_match(food=Chinese),"Omlouvám se, ale v nabídce není žádná čínská restaurace podávající snídaně.",inform_no_match(good_for_meal=X-good_for_meal)&inform_no_match(food=X-food),"omlouvám se , ale v nabídce není žádná X-food restaurace podávající X-good_for_meal ."
"inform(name=""Pivo & Basilico"")&inform(food=Indian)",Pivo & Basilico je indická restaurace.,inform(name=X-name)&inform(food=X-food),X-name je X-food restaurace .
"inform(name=""Švejk Restaurant"")&inform(phone=291050035)",Do restaurace Švejk můžete zavolat na číslo 291050035.,inform(name=X-name)&inform(phone=X-phone),do X-name můžete zavolat na číslo X-phone .
"inform(address=""Újezd 36"")&inform(name=""Kočár z Vídně"")",Adresa do restaurace Kočár z Vídně je Újezd 36.,inform(address=X-address)&inform(name=X-name),adresa do restaurace X-name je X-address .
"inform(name=""U Konšelů"")&inform(postcode=""128 00"")",Poštovní směrovací číslo restaurace U Konšelů je 128 00.,inform(name=X-name)&inform(postcode=X-postcode),poštovní směrovací číslo restaurace X-name je X-postcode .
goodbye(),"Snad jsem pomohla, na shledanou.",goodbye(),"snad jsem pomohla , na shledanou ."
?request(food),Jaký typ podávaných jídel byste si přáli najít?,?request(food),jaký typ podávaných jídel byste si přáli najít ?
"?select(kids_allowed=""yes or no"")","Chcete vědět, jestli je restaurace vhodná pro děti nebo není?","?select(kids_allowed=""yes or no"")","chcete vědět , jestli je restaurace vhodná pro děti nebo není ?"
inform(type=restaurant)&inform(kids_allowed=dont_care)&inform(count=229),"Pokud Vám nezáleží na tom, zda mají děti vstup povolen či ne, máte na výběr z 229 restaurací.",inform(type=restaurant)&inform(kids_allowed=dont_care)&inform(count=X-count),"pokud vám nezáleží na tom , zda mají děti vstup povolen či ne , máte na výběr z X-count restaurací ."
?request(food),Jaké jídlo chcete?,?request(food),jaké jídlo chcete ?
"inform(name=""Café Kampus"")&inform(price_range=cheap)&inform(food=Czech)&inform(kids_allowed=yes)",Café Kampus nabízí českou kuchyni v levné cenové relaci a je vhodná pro návštěvu s dětmi.,inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food)&inform(kids_allowed=yes),X-name nabízí X-food kuchyni v X-price_range cenové relaci a je vhodná pro návštěvu s dětmi .
"inform(name=""Green Spirit"")&inform(type=restaurant)",Green Spirit je pěkná restaurace.,inform(name=X-name)&inform(type=restaurant),X-name je pěkná restaurace .
"inform(name=""Pivo & Basilico"")&inform(phone=211358751)",Do Piva & Basilica se dovoláte na 211358751.,inform(name=X-name)&inform(phone=X-phone),do X-name se dovoláte na X-phone .
goodbye(),"Na shledanou, ráda jsem pomohla.",goodbye(),"na shledanou , ráda jsem pomohla ."
"inform_no_match(near=""Petřín Tower"")&inform_no_match(price_range=cheap)&inform_no_match(kids_allowed=no)","Blízko Petřínské rozhledny se nenacházejí restaurace, které by byly levné a kam by neměly přístup děti.",inform_no_match(near=X-near)&inform_no_match(price_range=X-price_range)&inform_no_match(kids_allowed=no),"blízko X-near se nenacházejí restaurace , které by byly X-price_range a kam by neměly přístup děti ."
"inform(name=Ananta)&inform(near=""Petřín Tower"")",Chcete zkusit Anantu kousek od Petřínské rozhledny?,inform(name=X-name)&inform(near=X-near),chcete zkusit X-name kousek od X-near ?
"inform(name=""U Konšelů"")&inform(price_range=moderate)&inform(kids_allowed=yes)",U Konšelů jsou ceny běžné a je vhodná i pro návštěvu s dětmi.,inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=yes),X-name jsou ceny X-price_range a je vhodná i pro návštěvu s dětmi .
"inform(name=Ferdinanda)&inform(near=""Prague Castle"")&inform(phone=259250377)",Ferdinanda je blízko Pražského hradu a její telefonní číslo je 259250377.,inform(name=X-name)&inform(near=X-near)&inform(phone=X-phone),X-name je blízko X-near a její telefonní číslo je X-phone .
"inform(name=""Kočár z Vídně"")&inform(type=restaurant)",Doporučuji příjemnou restauraci Kočár z Vídně,inform(name=X-name)&inform(type=restaurant),doporučuji příjemnou restauraci X-name
"inform(address=""Náprstkova 25"")&inform(name=""U Tučňáků"")",Restaurace U Tučňáků se nachází na Náprstkově 25.,inform(address=X-address)&inform(name=X-name),restaurace X-name se nachází na X-address .
"inform(name=""U Tučňáků"")&inform(phone=289156516)",Číslo do podniku U Tučňáků je 289156516.,inform(name=X-name)&inform(phone=X-phone),číslo do podniku X-name je X-phone .
inform(area=Hradčany)&inform(name=BarBar),BarBar se nachází na Hradčanech.,inform(area=X-area)&inform(name=X-name),X-name se nachází na X-area .
goodbye(),Na shledanou a hezký den.,goodbye(),na shledanou a hezký den .
?request(price_range),Jaké ceny vám vyhovují?,?request(price_range),jaké ceny vám vyhovují ?
"inform(name=""Café Kampus"")&inform(price_range=expensive)",Café Kampus je luxusní restaurace.,inform(name=X-name)&inform(price_range=X-price_range),X-name je X-price_range restaurace .
"inform(area=Nusle)&inform(address=""Kaprova 8"")&inform(name=Místo)",Místo se nachází v oblasti Nuslí v ulici Kaprova 8.,inform(area=X-area)&inform(address=X-address)&inform(name=X-name),X-name se nachází v oblasti X-area v ulici X-address .
goodbye(),"Děkuji Vám, na shledanou",goodbye(),"děkuji vám , na shledanou"
"inform(name=""U Tučňáků"")&inform(kids_allowed=yes)",U Tučňáků je příjemná restaurace vhodná pro děti.,inform(name=X-name)&inform(kids_allowed=yes),X-name je příjemná restaurace vhodná pro děti .
"inform(name=""Green Spirit"")&inform(address=""Náprstkova 5"")&inform(phone=245315344)",Adresa restaurace Green Spirit je Náprstkova 5. Telefonní číslo je 245315344.,inform(name=X-name)&inform(address=X-address)&inform(phone=X-phone),adresa restaurace X-name je X-address . telefonní číslo je X-phone .
goodbye(),Přeji příjemný den.,goodbye(),přeji příjemný den .
"inform(name=""U Tučňáků"")&inform(price_range=moderate)&inform(food=Italian)",Restaurace U Tučňáků má normální ceny a nabízí italská jídla.,inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food),restaurace X-name má X-price_range ceny a nabízí X-food jídla .
"inform(area=Žižkov)&inform(address=""Žatecká 28"")&inform(name=Místo)&inform(phone=222236131)",Místo leží na Žižkově. Adresa je Žatecká 28 a telefonní číslo 222236131.,inform(area=X-area)&inform(address=X-address)&inform(name=X-name)&inform(phone=X-phone),X-name leží na X-area . adresa je X-address a telefonní číslo X-phone .
goodbye(),Na slyšenou příště.,goodbye(),na slyšenou příště .
"inform(name=""Pivo & Basilico"")&inform(near=""Charles Bridge"")&inform(price_range=cheap)",Pivo & Basilico je levná restaurace poblíž Karlova mostu.,inform(name=X-name)&inform(near=X-near)&inform(price_range=X-price_range),X-name je X-price_range restaurace poblíž X-near .
"inform(type=restaurant)&inform(name=""Green Spirit"")",Green Spirit je restaurace.,inform(type=restaurant)&inform(name=X-name),X-name je restaurace .
"inform(near=""Prague Castle"")&inform(type=restaurant)&inform(price_range=cheap)&inform(count=2)",Blízko Pražského hradu jsem našla 2 restaurace s nízkými cenami.,inform(near=X-near)&inform(type=restaurant)&inform(price_range=X-price_range)&inform(count=X-count),blízko X-near jsem našla X-count restaurace s X-price_range cenami .
?request(food),Jaký typ jídla máte rádi?,?request(food),jaký typ jídla máte rádi ?
"inform(name=""Green Spirit"")&inform(type=restaurant)",Green Spirit je příjemná restaurace.,inform(name=X-name)&inform(type=restaurant),X-name je příjemná restaurace .
inform(name=Místo)&inform(near=Stromovka)&inform(price_range=moderate),"Místo se nachází poblíž Stromovky, kterou hledáte. Nabízí také jídlo za střední ceny.",inform(name=X-name)&inform(near=X-near)&inform(price_range=X-price_range),"X-name se nachází poblíž X-near , kterou hledáte . nabízí také jídlo za X-price_range ceny ."
"inform(name=Místo)&inform(phone=219973677)&inform(postcode=""123 00"")","Název tohoto podniku je Místo, telefonní číslo je 219973677 a poštovní směrovací číslo 123 00.",inform(name=X-name)&inform(phone=X-phone)&inform(postcode=X-postcode),"název tohoto podniku je X-name , telefonní číslo je X-phone a poštovní směrovací číslo X-postcode ."
goodbye(),Děkuji a na shledanou.,goodbye(),děkuji a na shledanou .
"inform(name=""Green Spirit"")&inform(price_range=cheap)&inform(kids_allowed=no)",Green Spirit je levná restaurace se zákazem vstupu pro děti.,inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=no),X-name je X-price_range restaurace se zákazem vstupu pro děti .
"inform(area=Dejvice)&inform(name=""U Tučňáků"")",Restaurace U Tučňáků se nachází v Dejvicích.,inform(area=X-area)&inform(name=X-name),restaurace X-name se nachází v X-area .
inform(name=Místo)&inform(phone=289963536),Telefonní kontakt do restaurace Místo je 289963536.,inform(name=X-name)&inform(phone=X-phone),telefonní kontakt do restaurace X-name je X-phone .
goodbye(),Není vůbec za co. Na shledanou.,goodbye(),není vůbec za co . na shledanou .
"inform(name=""Baráčnická rychta"")&inform(food=vegetarian)","Našla jsem Baráčnickou rychtu, restauraci, která nabízí vegetariánská jídla.",inform(name=X-name)&inform(food=X-food),"našla jsem X-name , restauraci , která nabízí X-food jídla ."
inform(name=Ananta)&inform(food=vegetarian)&inform(good_for_meal=lunch),Našla jsem restauraci Ananta pro vegetariánský oběd.,inform(name=X-name)&inform(food=X-food)&inform(good_for_meal=X-good_for_meal),našla jsem restauraci X-name pro X-food X-good_for_meal .
"inform_only_match(name=""Kočár z Vídně"")&inform_only_match(food=Czech)&inform_only_match(good_for_meal=lunch)","Jediná restaurace, kde je povolen vstup s dětmi a podávají zde česká jídla k obědu, je Kočár z Vídně.",inform_only_match(name=X-name)&inform_only_match(food=X-food)&inform_only_match(good_for_meal=X-good_for_meal),"jediná restaurace , kde je povolen vstup s dětmi a podávají zde X-food jídla k X-good_for_meal , je X-name ."
