da,delex_da,text,delex_text
"inform(name='Café Savoy',type=restaurant)","inform(name=X-name,type=restaurant)",Jedna z místních restaurací je Café Savoy .,Jedna z místních restaurací je X-name .
?request(good_for_meal),?request(good_for_meal),"Snídaně , brunch , oběd nebo večeře ?","Snídaně , brunch , oběd nebo večeře ?"
"inform(address='Újezd 21',area=Smíchov,name='Green Spirit')","inform(address=X-address,area=X-area,name=X-name)",Green Spirit se nachází na Smíchově na adrese Újezd 21 .,X-name se nachází na X-area na adrese X-address .
goodbye(),goodbye(),Dobrý den,Dobrý den
?request(price_range),?request(price_range),Jakou si přejete cenovou skupinu ?,Jakou si přejete cenovou skupinu ?
?request(price_range),?request(price_range),Jaká cenová kategorie prosím ?,Jaká cenová kategorie prosím ?
"inform(name='Café Kampus',type=restaurant)","inform(name=X-name,type=restaurant)","Ano , Café Kampus je krásná restaurace .","Ano , X-name je krásná restaurace ."
"inform(name='Café Kampus',type=restaurant)","inform(name=X-name,type=restaurant)",Mám zde příjemnou restauraci Café Kampus .,Mám zde příjemnou restauraci X-name .
goodbye(),goodbye(),Na shledanou .,Na shledanou .
goodbye(),goodbye(),Děkuji .,Děkuji .
"inform(good_for_meal=dinner,kids_allowed=yes,name='Kočár z Vídně')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)",Restaurace Kočár z Vídně nabízí večeře a je vhodná pro děti .,Restaurace X-name nabízí X-good_for_meal a je vhodná pro děti .
goodbye(),goodbye(),Mějte se .,Mějte se .
"inform(address='Malostranské náměstí 49',name='U Tučňáků')","inform(address=X-address,name=X-name)",Adresa podniku U Tučňáků je Malostranské náměstí 49,Adresa podniku X-name je X-address
?request(price_range),?request(price_range),"Můžu se zeptat , jakou cenovou kategorii hledáte ?","Můžu se zeptat , jakou cenovou kategorii hledáte ?"
"inform(area=Vinohrady,name=Ananta)","inform(area=X-area,name=X-name)",Restaurace Ananta se nachází v lokalitě Vinohrad .,Restaurace X-name se nachází v lokalitě X-area .
goodbye(),goodbye(),Dobrý den,Dobrý den
?request(near),?request(near),Poblíž jaké lokality hledáte ?,Poblíž jaké lokality hledáte ?
goodbye(),goodbye(),Není zač .,Není zač .
"inform(food=Czech,kids_allowed=yes,name='Švejk Restaurant',near='TV Tower')","inform(food=X-food,kids_allowed=yes,name=X-name,near=X-near)","Švejk Restaurant je česká restaurace poblíž televizní věže , možné jsou i návštěvy s dětmi .","X-name je X-food restaurace poblíž X-near , možné jsou i návštěvy s dětmi ."
"inform_no_match(area=Karlín,kids_allowed=yes)","inform_no_match(area=X-area,kids_allowed=yes)","Bohužel v Karlíně nejsou restaurace , které jsou vhodné pro návštěvu s dětmi .","Bohužel v X-area nejsou restaurace , které jsou vhodné pro návštěvu s dětmi ."
"inform(area=Hradčany,name='Café Kampus')","inform(area=X-area,name=X-name)",Café Kampus leží v okolí Hradčan .,X-name leží v okolí X-area .
?request(good_for_meal),?request(good_for_meal),"Přejete si snídani , brunch , oběd nebo večeři ?","Přejete si snídani , brunch , oběd nebo večeři ?"
?reqmore(),?reqmore(),Mohu Vám pomoci s něčím dalším ?,Mohu Vám pomoci s něčím dalším ?
goodbye(),goodbye(),Na shledanou,Na shledanou
"inform(name=Ferdinanda,type=restaurant)","inform(name=X-name,type=restaurant)",Další restaurací je Ferdinanda .,Další restaurací je X-name .
"inform(count=89,good_for_meal=dinner,kids_allowed=yes,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,kids_allowed=yes,type=restaurant)","Nabízí se 89 restaurací , kde mají dobré večeře a povolený vstup s dětmi .","Nabízí se X-count restaurací , kde mají dobré X-good_for_meal a povolený vstup s dětmi ."
goodbye(),goodbye(),"Na shledanou , přeji Vám krásný den .","Na shledanou , přeji Vám krásný den ."
"inform(food=Turkish,name='Baráčnická rychta')","inform(food=X-food,name=X-name)",Baráčnická rychta je turecká restaurace,X-name je X-food restaurace
?request(price_range),?request(price_range),Kolik plánujete utratit peněz ?,Kolik plánujete utratit peněz ?
?select(kids_allowed='yes or no'),?select(kids_allowed='yes or no'),"Chtěli byste , aby byla restaurace vhodná i pro děti ?","Chtěli byste , aby byla restaurace vhodná i pro děti ?"
goodbye(),goodbye(),Děkuji za zavolání . Na shledanou .,Děkuji za zavolání . Na shledanou .
goodbye(),goodbye(),Na shledanou .,Na shledanou .
"inform(good_for_meal=dinner,kids_allowed=yes,name='Baráčnická rychta')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)",Baráčnická rychta je dobré místo na večeři a hodí se pro děti .,X-name je dobré místo na X-good_for_meal a hodí se pro děti .
goodbye(),goodbye(),"Na shledanou , mějte se .","Na shledanou , mějte se ."
?request(near),?request(near),Poblíž čeho to má být ?,Poblíž čeho to má být ?
goodbye(),goodbye(),Na shledanou a hezký den .,Na shledanou a hezký den .
"inform(area=Vinohrady,kids_allowed=yes,name='Green Spirit',price_range=moderate)","inform(area=X-area,kids_allowed=yes,name=X-name,price_range=X-price_range)","Green Spirit vaří za průměrné ceny , povoluje děti a nachází se na Vinohradech .","X-name vaří za X-price_range ceny , povoluje děti a nachází se na X-area ."
?confirm(food=German),?confirm(food=X-food),"Mohu se ujistit , že jste si vybral německou kuchyni ?","Mohu se ujistit , že jste si vybral X-food kuchyni ?"
goodbye(),goodbye(),Děkuji vám . Na shledanou .,Děkuji vám . Na shledanou .
"inform(name='U Konšelů',type=restaurant)","inform(name=X-name,type=restaurant)","Našla jsem restauraci U Konšelů , která splňuje , co hledáte .","Našla jsem restauraci X-name , která splňuje , co hledáte ."
"inform(address='Štefánikova 8',name='U Tučňáků')","inform(address=X-address,name=X-name)",Adresa restaurace U Tučňáků je ulice Štefánikova 8 .,Adresa restaurace X-name je ulice X-address .
?request(price_range),?request(price_range),Jakou máte cenovou představu ?,Jakou máte cenovou představu ?
"inform(kids_allowed=yes,name='Švejk Restaurant')","inform(kids_allowed=yes,name=X-name)","Restaurace Švejk je dobrá restaurace , kde je povolen vstup s dětmi .","X-name je dobrá restaurace , kde je povolen vstup s dětmi ."
goodbye(),goodbye(),Děkuji vám . Na shledanou .,Děkuji vám . Na shledanou .
"inform(food=vegetarian,name='U Tučňáků')","inform(food=X-food,name=X-name)",V restauraci U Tučňáků připravují vegetariánská jídla .,V restauraci X-name připravují X-food jídla .
"inform(food=American,name='Kočár z Vídně',near='Wenceslas Square')","inform(food=X-food,name=X-name,near=X-near)",V restauraci Kočár z Vídně poblíž Václavského náměstí podávají americká jídla .,V restauraci X-name poblíž X-near podávají X-food jídla .
"inform(good_for_meal=lunch,name='Café Savoy',near='Wenceslas Square')","inform(good_for_meal=X-good_for_meal,name=X-name,near=X-near)",Café Savoy se nachází blízko Václavskému náměstí a můžete se zde dobře naobědvat .,X-name se nachází blízko X-near a můžete se zde dobře X-good_for_meal .
"inform(kids_allowed=yes,name=Místo,price_range=cheap)","inform(kids_allowed=yes,name=X-name,price_range=X-price_range)",Místo nabízí levná jídla a povoluje vstup dětem .,X-name nabízí X-price_range jídla a povoluje vstup dětem .
"inform(address='Kaprova 36',name='Pivo & Basilico')","inform(address=X-address,name=X-name)",Restaurace Pivo & Basilico sídlí na adrese Kaprova 36 .,Restaurace X-name sídlí na adrese X-address .
"inform(name='Green Spirit',near='Charles Bridge',price_range=cheap)","inform(name=X-name,near=X-near,price_range=X-price_range)",Green Spirit se nachází poblíž Karlova mostu a patří mezi levné restaurace .,X-name se nachází poblíž X-near a patří mezi X-price_range restaurace .
?confirm(food=dont_care),?confirm(food=dont_care),"Záleží vám na tom , jaké jídlo servírují ?","Záleží vám na tom , jaké jídlo servírují ?"
"inform(name=Místo,type=restaurant)","inform(name=X-name,type=restaurant)",Místo je název restaurace,X-name je název restaurace
"inform(good_for_meal=dinner,kids_allowed=no,name='Baráčnická rychta',near='Old Town Square')","inform(good_for_meal=X-good_for_meal,kids_allowed=no,name=X-name,near=X-near)",Baráčnická rychta leží nedaleko Staroměstského náměstí . Dobře se zde navečeříte a není přístupná pro děti .,X-name leží nedaleko X-near . Dobře se zde X-good_for_meal a není přístupná pro děti .
goodbye(),goodbye(),Jste určitě vítáni !,Jste určitě vítáni !
"inform(count=54,good_for_meal=dont_care,type=restaurant)","inform(count=X-count,good_for_meal=dont_care,type=restaurant)","V nabídce je 54 restaurací , které nabízí všechny druhy jídel .","V nabídce je X-count restaurací , které nabízí všechny druhy jídel ."
"inform(count=12,good_for_meal=lunch,price_range=moderate,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,price_range=X-price_range,type=restaurant)","Našla jsme 12 restaurací , které jsou dobré na oběd a středně drahé .","Našla jsme X-count restaurací , které jsou dobré na X-good_for_meal a X-price_range ."
?reqmore(),?reqmore(),Potřebujete ještě něco ?,Potřebujete ještě něco ?
goodbye(),goodbye(),"Není za co , na shledanou .","Není za co , na shledanou ."
"inform(kids_allowed=no,name=Místo,price_range=expensive)","inform(kids_allowed=no,name=X-name,price_range=X-price_range)","Je tu pěkná , drahá restaurace Místo , která není přístupná dětem .","Je tu pěkná , X-price_range restaurace X-name , která není přístupná dětem ."
"inform(address='Tržiště 30',name='Kočár z Vídně')","inform(address=X-address,name=X-name)",Adresa Kočáru z Vídně zní Tržiště 30 .,Adresa X-name zní X-address .
goodbye(),goodbye(),Není za co ! Na shledanou .,Není za co ! Na shledanou .
?request(price_range),?request(price_range),Jakou cenovou kategorii byste si přáli ?,Jakou cenovou kategorii byste si přáli ?
goodbye(),goodbye(),Dobrý den,Dobrý den
goodbye(),goodbye(),Rádo se stalo . Na shledanou .,Rádo se stalo . Na shledanou .
"inform(food=Asian,good_for_meal=lunch,name=Ananta)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name)","Nabízí se restaurace Ananta , dobré místo na oběd , kde podávají asijská jídla .","Nabízí se restaurace X-name , dobré místo na X-good_for_meal , kde podávají X-food jídla ."
?request(near),?request(near),Poblíž čeho to je ?,Poblíž čeho to je ?
"inform(name=BarBar,type=restaurant)","inform(name=X-name,type=restaurant)",Mám tu restauraci BarBar .,Mám tu restauraci X-name .
"inform(kids_allowed=yes,name='Švejk Restaurant')","inform(kids_allowed=yes,name=X-name)",Restaurace Švejk je vegetariánská a vaří i pro děti .,X-name je vegetariánská a vaří i pro děti .
"inform(name='Baráčnická rychta',postcode='159 00')","inform(name=X-name,postcode=X-postcode)",Baráčnická rychta má poštovní směrovací číslo 159 00 .,X-name má poštovní směrovací číslo X-postcode .
"inform(name='Švejk Restaurant',postcode='143 00')","inform(name=X-name,postcode=X-postcode)",Restaurace Švejk má poštovní směrovací číslo 143 00 .,X-name má poštovní směrovací číslo X-postcode .
"inform(address='Karmelitská 42',name='Švejk Restaurant',phone=265745239,postcode='167 00')","inform(address=X-address,name=X-name,phone=X-phone,postcode=X-postcode)","Adresa restaurace Švejk je Karmelitská 42 , telefonní číslo je 265745239 a poštovní směrovací číslo je 167 00 .","Adresa X-name je X-address , telefonní číslo je X-phone a poštovní směrovací číslo je X-postcode ."
"inform(count=2,good_for_meal=brunch,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,type=restaurant)",V nabídce jsou 2 restaurace dobré pro pozdní snídaně .,V nabídce jsou X-count restaurace dobré pro X-good_for_meal .
"inform(address='Újezd 14',name='Švejk Restaurant')","inform(address=X-address,name=X-name)",Restauraci Švejk najdete na adrese Újezd 14,X-name najdete na adrese X-address
"inform(name='Kočár z Vídně',type=restaurant)","inform(name=X-name,type=restaurant)",Kočár z Vídně je restaurace,X-name je restaurace
goodbye(),goodbye(),"Na shledanou , přeji krásný den .","Na shledanou , přeji krásný den ."
"inform(name='Pivo & Basilico',near='TV Tower',price_range=cheap)","inform(name=X-name,near=X-near,price_range=X-price_range)",Pivo & Basilico v blízkosti televizního vysílače je za nízké ceny .,X-name v blízkosti X-near je za X-price_range ceny .
"inform(area=Žižkov,name=Ferdinanda)","inform(area=X-area,name=X-name)",Ferdinanda leží na Žižkově .,X-name leží na X-area .
"inform(address='Štefánikova 14',kids_allowed=yes,name='Café Kampus')","inform(address=X-address,kids_allowed=yes,name=X-name)",Café Kampus povoluje vstup s dětmi a adresa je Štefánikova 14,X-name povoluje vstup s dětmi a adresa je X-address
"inform(count=94,kids_allowed=yes,type=restaurant)","inform(count=X-count,kids_allowed=yes,type=restaurant)","Je zde 94 restaurací , kam mohou děti .","Je zde X-count restaurací , kam mohou děti ."
?request(price_range),?request(price_range),Určitě vám nezáleží na cenové skupině ?,Určitě vám nezáleží na cenové skupině ?
?request(good_for_meal),?request(good_for_meal),"Jaké jídlo hledáte , snídani , brunch , oběd nebo večeři ?","Jaké jídlo hledáte , snídani , brunch , oběd nebo večeři ?"
"inform(count=134,good_for_meal=breakfast,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,type=restaurant)","Mám tu 134 restaurací , které podávají snídani .","Mám tu X-count restaurací , které podávají X-good_for_meal ."
inform_no_match(area=Hradčany),inform_no_match(area=X-area),"Lituji , ale na Hradčanech se nenachází žádné restaurace .","Lituji , ale na X-area se nenachází žádné restaurace ."
?confirm(area=Dejvice),?confirm(area=X-area),Chcete prohledat oblast Dejvice ?,Chcete prohledat oblast X-area ?
"inform(address='Národní 29',name='Švejk Restaurant',postcode='156 00')","inform(address=X-address,name=X-name,postcode=X-postcode)",Adresa restaurace Švejk je Národní 29 a poštovní směrovací číslo je 156 00 .,Adresa X-name je X-address a poštovní směrovací číslo je X-postcode .
"inform(address='Štefánikova 22',name='Pivo & Basilico')","inform(address=X-address,name=X-name)",Adresa podniku Pivo & Basilico je Štefánikova 22 .,Adresa podniku X-name je X-address .
"inform(count=4,kids_allowed=yes,price_range=expensive,type=restaurant)","inform(count=X-count,kids_allowed=yes,price_range=X-price_range,type=restaurant)","Mám tu 4 restaurace , které jsou vhodné pro děti a patří do vyšší cenové skupiny .","Mám tu X-count restaurace , které jsou vhodné pro děti a patří do X-price_range cenové skupiny ."
?request(price_range),?request(price_range),Kolik přibližně chcete utratit ?,Kolik přibližně chcete utratit ?
"inform(area='Malá Strana',count=72,price_range=cheap,type=restaurant)","inform(area=X-area,count=X-count,price_range=X-price_range,type=restaurant)",Na Malé Straně je 72 levných restaurací .,Na X-area je X-count X-price_range restaurací .
"inform(count=2,good_for_meal=brunch,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,type=restaurant)","Našla jsem 2 dobré restaurace , kde si můžete dát brunch .","Našla jsem X-count dobré restaurace , kde si můžete X-good_for_meal ."
goodbye(),goodbye(),Děkuji a přeji krásný den,Děkuji a přeji krásný den
?reqmore(),?reqmore(),"Je ještě něco , s čím vám mohu pomoci ?","Je ještě něco , s čím vám mohu pomoci ?"
goodbye(),goodbye(),Na slyšenou příště .,Na slyšenou příště .
goodbye(),goodbye(),Nashle !,Nashle !
"inform(name=Ananta,type=restaurant)","inform(name=X-name,type=restaurant)",Doporučila bych vám příjemnou restauraci Ananta .,Doporučila bych vám příjemnou restauraci X-name .
goodbye(),goodbye(),Děkuji a užijte si to,Děkuji a užijte si to
"inform(address='Malostranské náměstí 5',name='Švejk Restaurant')","inform(address=X-address,name=X-name)",Švejk Restaurant je na Malostranském náměstí 5 .,X-name je na X-address .
?request(good_for_meal),?request(good_for_meal),"Přejete si restauraci , která nabízí snídani , brunch , oběd nebo večeři ?","Přejete si restauraci , která nabízí snídani , brunch , oběd nebo večeři ?"
"inform(name=BarBar,near='Charles Bridge',price_range=moderate)","inform(name=X-name,near=X-near,price_range=X-price_range)","Jistě . Ráda bych Vás informovala , že je tu příjemná restaurace zvaná BarBar , která má střední ceny a má praktickou polohu v blízkosti Karlova mostu .","Jistě . Ráda bych Vás informovala , že je tu příjemná restaurace zvaná X-name , která má X-price_range ceny a má praktickou polohu v blízkosti X-near ."
"inform(count=89,good_for_meal=dinner,kids_allowed=yes,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,kids_allowed=yes,type=restaurant)","Najdete zde 89 kvalitních restaurací , které vítají děti a podávají večeře .","Najdete zde X-count kvalitních restaurací , které vítají děti a podávají X-good_for_meal ."
"inform(food=French,name=Místo)","inform(food=X-food,name=X-name)",Místo se soustředí na francouzskou kuchyni .,X-name se soustředí na X-food kuchyni .
"inform(name='Café Savoy',type=restaurant)","inform(name=X-name,type=restaurant)",Café Savoy je výtečná restaurace .,X-name je výtečná restaurace .
?reqmore(),?reqmore(),Jak zní prosím váš dotaz ?,Jak zní prosím váš dotaz ?
"inform(name='Café Savoy',type=restaurant)","inform(name=X-name,type=restaurant)",Café Savoy je restaurace,X-name je restaurace
"inform(address='Štefánikova 39',name='Švejk Restaurant')","inform(address=X-address,name=X-name)",Restauraci Švejk najdete na adrese Štefánikova 39,X-name najdete na adrese X-address
?reqmore(),?reqmore(),Jak vám mohu pomoci ?,Jak vám mohu pomoci ?
goodbye(),goodbye(),Přeji příjemný den .,Přeji příjemný den .
"inform(address='Tržiště 46',name='U Konšelů')","inform(address=X-address,name=X-name)",Adresa podniku U Konšelů je Tržiště 46,Adresa podniku X-name je X-address
"inform(food=Mexican,name='Green Spirit')","inform(food=X-food,name=X-name)",Green Spirit je hezká mexická restaurace .,X-name je hezká X-food restaurace .
"inform(good_for_meal=lunch,kids_allowed=yes,name='Pivo & Basilico')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)",Pivo & Basilico povoluje vstup s dětmi a je dobrým místem na oběd .,X-name povoluje vstup s dětmi a je dobrým místem na X-good_for_meal .
?select(kids_allowed='yes or no'),?select(kids_allowed='yes or no'),"Chcete restauraci , kam můžete jít s dětmi ?","Chcete restauraci , kam můžete jít s dětmi ?"
"inform_no_match(area=Karlín,kids_allowed=yes)","inform_no_match(area=X-area,kids_allowed=yes)","Omlouvám se , ale nemohu najít žádnou restauraci v Karlíně , kam by byl povolen vstup s dětmi .","Omlouvám se , ale nemohu najít žádnou restauraci v X-area , kam by byl povolen vstup s dětmi ."
"inform(name='Pivo & Basilico',type=restaurant)","inform(name=X-name,type=restaurant)",Mám tu pro Vás restauraci Pivo & Basilico .,Mám tu pro Vás restauraci X-name .
"inform(address='Národní 20',name='U Konšelů',phone=258300134)","inform(address=X-address,name=X-name,phone=X-phone)",Adresa restaurace U Konšelů je Národní 20 a telefonní číslo je 258300134 .,Adresa restaurace X-name je X-address a telefonní číslo je X-phone .
goodbye(),goodbye(),"Děkuji Vám , na shledanou","Děkuji Vám , na shledanou"
"inform_no_match(food=Italian,near='Old Town Square')","inform_no_match(food=X-food,near=X-near)",Nenašla jsem žádné italské restaurace poblíž Staroměstského náměstí .,Nenašla jsem žádné X-food restaurace poblíž X-near .
goodbye(),goodbye(),"Na shledanou , zavolejte zas .","Na shledanou , zavolejte zas ."
goodbye(),goodbye(),Nashle !,Nashle !
?request(price_range),?request(price_range),"Je tu nějaká cenová úroveň , ve které chcete hledat ?","Je tu nějaká cenová úroveň , ve které chcete hledat ?"
"inform(address='Újezd 31',name='Švejk Restaurant')","inform(address=X-address,name=X-name)",Švejk Restaurant má adresu Újezd 31 .,X-name má adresu X-address .
?reqmore(),?reqmore(),Jak vám mohu pomoci ?,Jak vám mohu pomoci ?
"inform(food=Mexican,good_for_meal=dinner,name='Green Spirit')","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name)","Green Spirit je dobrá restaurace na večeři , která servíruje mexická jídla .","X-name je dobrá restaurace na X-good_for_meal , která servíruje X-food jídla ."
goodbye(),goodbye(),Na shledanou .,Na shledanou .
"inform(area=Žižkov,name=BarBar)","inform(area=X-area,name=X-name)",BarBar má sídlo na Žižkově .,X-name má sídlo na X-area .
goodbye(),goodbye(),"Nemáte zač , na shledanou .","Nemáte zač , na shledanou ."
?request(good_for_meal),?request(good_for_meal),"Hledáte restauraci , která podává snídaně , brunch , obědy nebo večeře ?","Hledáte restauraci , která podává snídaně , brunch , obědy nebo večeře ?"
"inform(name='Café Savoy',price='between 50 and 150 Kč')","inform(name=X-name,price=X-price)",Většina jídel v Café Savoy stojí od 50 do 150 Kč .,Většina jídel v X-name stojí X-price .
"inform(count=4,food=Turkish,price_range=expensive,type=restaurant)","inform(count=X-count,food=X-food,price_range=X-price_range,type=restaurant)",Mám tu 4 drahé turecké restaurace,Mám tu X-count X-price_range X-food restaurace
"inform(name='Green Spirit',type=restaurant)","inform(name=X-name,type=restaurant)",Green Spirit je restaurace .,X-name je restaurace .
"inform(address='Štefánikova 34',name='Kočár z Vídně',near='TV Tower')","inform(address=X-address,name=X-name,near=X-near)",Restaurace Kočár z Vídně se nachází blízko televizní věže na adrese Štefánikova 34 .,Restaurace X-name se nachází blízko X-near na adrese X-address .
?request(near),?request(near),Mám hledat poblíž určitého místa ?,Mám hledat poblíž určitého místa ?
?request(good_for_meal),?request(good_for_meal),"Plánujete vyrazit na snídani , brunch , oběd nebo večeři ?","Plánujete vyrazit na snídani , brunch , oběd nebo večeři ?"
goodbye(),goodbye(),Nashle .,Nashle .
goodbye(),goodbye(),Děkuji !,Děkuji !
"inform(address='Náprstkova 25',name='Café Savoy')","inform(address=X-address,name=X-name)",Restaurace Café Savoy se nachází na Náprstkově 25 .,Restaurace X-name se nachází na X-address .
"inform(name='Green Spirit',phone=210261187,postcode='127 00')","inform(name=X-name,phone=X-phone,postcode=X-postcode)",Green Spirit má telefonní číslo 210261187 a PSČ 127 00 .,X-name má telefonní číslo X-phone a PSČ X-postcode .
"inform(name='Green Spirit',type=restaurant)","inform(name=X-name,type=restaurant)",Restaurace má název Green Spirit .,Restaurace má název X-name .
?request(near),?request(near),Poblíž čeho hledáte ?,Poblíž čeho hledáte ?
goodbye(),goodbye(),Na shledanou a mějte se hezky .,Na shledanou a mějte se hezky .
"inform(name='Green Spirit',type=restaurant)","inform(name=X-name,type=restaurant)",Green Spirit je dobrá restaurace .,X-name je dobrá restaurace .
"inform(count=135,kids_allowed=yes,price_range=expensive,type=restaurant)","inform(count=X-count,kids_allowed=yes,price_range=X-price_range,type=restaurant)",Našla jsem 135 dražších restaurací vhodných pro děti .,Našla jsem X-count X-price_range restaurací vhodných pro děti .
?select(kids_allowed='yes or no'),?select(kids_allowed='yes or no'),"Chcete něco , kam mohou děti ?","Chcete něco , kam mohou děti ?"
"inform(count=239,good_for_meal=dont_care,type=restaurant)","inform(count=X-count,good_for_meal=dont_care,type=restaurant)","Mám tu 239 restaurací , které jsou skvělé na jakékoli jídlo .","Mám tu X-count restaurací , které jsou skvělé na jakékoli jídlo ."
goodbye(),goodbye(),Děkuji vám . Na shledanou .,Děkuji vám . Na shledanou .
goodbye(),goodbye(),"Děkuji Vám , mějte se krásně .","Děkuji Vám , mějte se krásně ."
"inform(area=Dejvice,count=2,price_range=cheap,type=restaurant)","inform(area=X-area,count=X-count,price_range=X-price_range,type=restaurant)",V Dejvicích jsou 2 levné restaurace .,V X-area jsou X-count X-price_range restaurace .
"inform(name='Café Kampus',type=restaurant)","inform(name=X-name,type=restaurant)",Je to restaurace Café Kampus .,Je to restaurace X-name .
"inform(address='Štefánikova 9',name='Pivo & Basilico',phone=233650558)","inform(address=X-address,name=X-name,phone=X-phone)",Adresa restaurace Pivo & Basilico je Štefánikova 9 a jejich telefonní číslo je 233650558,Adresa restaurace X-name je X-address a jejich telefonní číslo je X-phone
"inform(area=Vinohrady,name=BarBar)","inform(area=X-area,name=X-name)",BarBar je na Vinohradech .,X-name je na X-area .
"inform(name='Švejk Restaurant',type=restaurant)","inform(name=X-name,type=restaurant)",Švejk Restaurant je útulná restaurace .,X-name je útulná restaurace .
"inform(address='Štefánikova 14',name='Švejk Restaurant')","inform(address=X-address,name=X-name)",Restaurace Švejk se nachází na adrese Štefánikova 14 .,X-name se nachází na adrese X-address .
"inform(kids_allowed=yes,name='Café Savoy')","inform(kids_allowed=yes,name=X-name)","Doporučovala bych vám Café Savoy , kde je povolen vstup s dětmi .","Doporučovala bych vám X-name , kde je povolen vstup s dětmi ."
"inform(name='Café Savoy',type=restaurant)","inform(name=X-name,type=restaurant)",Café Savoy je rozhodně správná volba .,X-name je rozhodně správná volba .
goodbye(),goodbye(),Tak na shledanou !,Tak na shledanou !
"inform(name='Švejk Restaurant',type=restaurant)","inform(name=X-name,type=restaurant)",Doporučila bych restauraci Švejk,Doporučila bych X-name
